indice_tiempo,medio_de_transporte,pais,balanza
2016-05-01,Aérea,Resto del mundo,653
2016-05-01,Fluvial/Marítima,Bolivia,2452
2016-05-01,Fluvial/Marítima,Brasil,1358
2016-05-01,Fluvial/Marítima,Chile,681
2016-05-01,Fluvial/Marítima,Paraguay,-2144
2016-05-01,Fluvial/Marítima,Uruguay,1033
2016-05-01,Fluvial/Marítima,EE.UU. y Canadá,1631
2016-05-01,Fluvial/Marítima,Resto de América,2868
2016-05-01,Fluvial/Marítima,Europa,3842
2016-05-01,Fluvial/Marítima,Resto del mundo,1104
2016-05-01,Terrestre,Bolivia,-392
2016-05-01,Terrestre,Brasil,-11068
2016-05-01,Terrestre,Chile,-54565
2016-05-01,Terrestre,Paraguay,-25670
2016-05-01,Terrestre,Uruguay,-8227
2016-05-01,Terrestre,EE.UU. y Canadá,1762
2016-05-01,Terrestre,Resto de América,8333
2016-05-01,Terrestre,Europa,11503
2016-05-01,Terrestre,Resto del mundo,3823
2016-06-01,Aérea,Bolivia,2018
2016-06-01,Aérea,Brasil,7568
2016-06-01,Aérea,Chile,-10447
2016-06-01,Aérea,Paraguay,1028
2016-06-01,Aérea,Uruguay,-34
2016-06-01,Aérea,EE.UU. y Canadá,-54937
2016-06-01,Aérea,Resto de América,-36849
2016-06-01,Aérea,Europa,-51388
2016-06-01,Aérea,Resto del mundo,1154
2016-06-01,Fluvial/Marítima,Bolivia,252
2016-06-01,Fluvial/Marítima,Brasil,3406
2016-06-01,Fluvial/Marítima,Chile,522
2016-06-01,Fluvial/Marítima,Paraguay,-3477
2016-06-01,Fluvial/Marítima,Uruguay,-3467
2016-06-01,Fluvial/Marítima,EE.UU. y Canadá,1793
2016-06-01,Fluvial/Marítima,Resto de América,2908
2016-06-01,Fluvial/Marítima,Europa,2629
2016-06-01,Fluvial/Marítima,Resto del mundo,913
2016-06-01,Terrestre,Bolivia,-2721
2016-06-01,Terrestre,Brasil,-20463
2016-06-01,Terrestre,Chile,-31360
2016-06-01,Terrestre,Paraguay,-33091
2016-06-01,Terrestre,Uruguay,-13908
2016-06-01,Terrestre,EE.UU. y Canadá,2092
2016-06-01,Terrestre,Resto de América,6985
2016-06-01,Terrestre,Europa,7277
2016-06-01,Terrestre,Resto del mundo,2833
2016-07-01,Aérea,Bolivia,2670
2016-07-01,Aérea,Brasil,12678
2016-07-01,Aérea,Chile,-23521
2016-07-01,Aérea,Paraguay,3409
2016-07-01,Aérea,Uruguay,819
2016-07-01,Aérea,EE.UU. y Canadá,-45438
2016-07-01,Aérea,Resto de América,-36460
2016-07-01,Aérea,Europa,-44958
2016-07-01,Aérea,Resto del mundo,2056
2016-07-01,Fluvial/Marítima,Bolivia,986
2016-07-01,Fluvial/Marítima,Brasil,5606
2016-07-01,Fluvial/Marítima,Chile,873
2016-07-01,Fluvial/Marítima,Paraguay,-6488
2016-07-01,Fluvial/Marítima,Uruguay,2025
2016-07-01,Fluvial/Marítima,EE.UU. y Canadá,1007
2016-07-01,Fluvial/Marítima,Resto de América,2705
2016-07-01,Fluvial/Marítima,Europa,2814
2016-07-01,Fluvial/Marítima,Resto del mundo,963
2016-07-01,Terrestre,Bolivia,-5367
2016-07-01,Terrestre,Brasil,-74911
2016-07-01,Terrestre,Chile,-72724
2016-07-01,Terrestre,Paraguay,-41901
2016-07-01,Terrestre,Uruguay,-18884
2016-07-01,Terrestre,EE.UU. y Canadá,2497
2016-07-01,Terrestre,Resto de América,9483
2016-07-01,Terrestre,Europa,11153
2016-07-01,Terrestre,Resto del mundo,3254
2016-08-01,Aérea,Bolivia,1156
2016-08-01,Aérea,Brasil,13778
2016-08-01,Aérea,Chile,-15558
2016-08-01,Aérea,Paraguay,1314
