indice_tiempo,medio_de_transporte,pais_origen,viajes_de_turistas_no_residentes
2010-05-01,Fluvial/Marítima,Bolivia,2856
2010-05-01,Fluvial/Marítima,Brasil,5999
2010-05-01,Fluvial/Marítima,Chile,814
2010-05-01,Fluvial/Marítima,Paraguay,4104
2010-05-01,Fluvial/Marítima,Uruguay,37783
2010-05-01,Fluvial/Marítima,EE.UU. y Canadá,2913
2010-05-01,Fluvial/Marítima,Resto de América,3401
2010-05-01,Fluvial/Marítima,Europa,4464
2010-05-01,Fluvial/Marítima,Resto del mundo,956
2010-05-01,Terrestre,Bolivia,13366
2010-05-01,Terrestre,Brasil,23494
2010-05-01,Terrestre,Chile,49677
2010-05-01,Terrestre,Paraguay,41105
2010-05-01,Terrestre,Uruguay,28367
2010-05-01,Terrestre,EE.UU. y Canadá,2415
2010-05-01,Terrestre,Resto de América,7130
2010-05-01,Terrestre,Europa,11795
2010-05-01,Terrestre,Resto del mundo,4393
2010-06-01,Aérea,Bolivia,3023
2010-06-01,Aérea,Brasil,79350
2010-06-01,Aérea,Chile,21806
2010-06-01,Aérea,Paraguay,4508
2010-06-01,Aérea,Uruguay,7810
2010-06-01,Aérea,EE.UU. y Canadá,22677
2010-06-01,Aérea,Resto de América,25590
2010-06-01,Aérea,Europa,34434
2010-06-01,Aérea,Resto del mundo,9069
2010-06-01,Fluvial/Marítima,Bolivia,2733
2010-06-01,Fluvial/Marítima,Brasil,8652
2010-06-01,Fluvial/Marítima,Chile,567
2010-06-01,Fluvial/Marítima,Paraguay,5284
2010-06-01,Fluvial/Marítima,Uruguay,32907
2010-06-01,Fluvial/Marítima,EE.UU. y Canadá,2619
2010-06-01,Fluvial/Marítima,Resto de América,3333
2010-06-01,Fluvial/Marítima,Europa,3605
2010-06-01,Fluvial/Marítima,Resto del mundo,943
2010-06-01,Terrestre,Bolivia,13149
2010-06-01,Terrestre,Brasil,26524
2010-06-01,Terrestre,Chile,30383
2010-06-01,Terrestre,Paraguay,35347
2010-06-01,Terrestre,Uruguay,19933
2010-06-01,Terrestre,EE.UU. y Canadá,2049
2010-06-01,Terrestre,Resto de América,8700
2010-06-01,Terrestre,Europa,8593
2010-06-01,Terrestre,Resto del mundo,2868
2010-07-01,Aérea,Bolivia,3909
2010-07-01,Aérea,Brasil,122434
2010-07-01,Aérea,Chile,23925
2010-07-01,Aérea,Paraguay,5216
2010-07-01,Aérea,Uruguay,9524
2010-07-01,Aérea,EE.UU. y Canadá,25758
2010-07-01,Aérea,Resto de América,28119
2010-07-01,Aérea,Europa,35328
2010-07-01,Aérea,Resto del mundo,9754
