indice_tiempo,medio_de_transporte,pais_origen,viajes_de_turistas_no_residentes
2013-08-01,Terrestre,Chile,40438
2013-08-01,Terrestre,Paraguay,48241
2013-08-01,Terrestre,Uruguay,22349
2013-08-01,Terrestre,EE.UU. y Canadá,1591
2013-08-01,Terrestre,Resto de América,8277
2013-08-01,Terrestre,Europa,12146
2013-08-01,Terrestre,Resto del mundo,3129
2013-09-01,Aérea,Bolivia,4396
2013-09-01,Aérea,Brasil,63796
2013-09-01,Aérea,Chile,26169
2013-09-01,Aérea,Paraguay,4548
2013-09-01,Aérea,Uruguay,6237
2013-09-01,Aérea,EE.UU. y Canadá,16399
2013-09-01,Aérea,Resto de América,37051
2013-09-01,Aérea,Europa,33349
2013-09-01,Aérea,Resto del mundo,12192
2013-09-01,Fluvial/Marítima,Bolivia,3543
2013-09-01,Fluvial/Marítima,Brasil,9142
2013-09-01,Fluvial/Marítima,Chile,1113
2013-09-01,Fluvial/Marítima,Paraguay,6126
2013-09-01,Fluvial/Marítima,Uruguay,39233
2013-09-01,Fluvial/Marítima,EE.UU. y Canadá,1371
2013-09-01,Fluvial/Marítima,Resto de América,5900
2013-09-01,Fluvial/Marítima,Europa,3831
2013-09-01,Fluvial/Marítima,Resto del mundo,1080
2013-09-01,Terrestre,Bolivia,14709
2013-09-01,Terrestre,Brasil,25824
2013-09-01,Terrestre,Chile,71394
2013-09-01,Terrestre,Paraguay,49488
2013-09-01,Terrestre,Uruguay,39844
2013-09-01,Terrestre,EE.UU. y Canadá,1875
2013-09-01,Terrestre,Resto de América,9646
2013-09-01,Terrestre,Europa,10465
2013-09-01,Terrestre,Resto del mundo,4223
2013-10-01,Aérea,Bolivia,4867
2013-10-01,Aérea,Brasil,60633
2013-10-01,Aérea,Chile,25036
2013-10-01,Aérea,Paraguay,4270
2013-10-01,Aérea,Uruguay,3825
2013-10-01,Aérea,EE.UU. y Canadá,18087
2013-10-01,Aérea,Resto de América,41257
2013-10-01,Aérea,Europa,33893
2013-10-01,Aérea,Resto del mundo,11936
2013-10-01,Fluvial/Marítima,Bolivia,4339
2013-10-01,Fluvial/Marítima,Brasil,9445
2013-10-01,Fluvial/Marítima,Chile,1275
2013-10-01,Fluvial/Marítima,Paraguay,6395
2013-10-01,Fluvial/Marítima,Uruguay,35406
2013-10-01,Fluvial/Marítima,EE.UU. y Canadá,2604
2013-10-01,Fluvial/Marítima,Resto de América,7358
2013-10-01,Fluvial/Marítima,Europa,9151
2013-10-01,Fluvial/Marítima,Resto del mundo,1520
2013-10-01,Terrestre,Bolivia,20929
2013-10-01,Terrestre,Brasil,26548
2013-10-01,Terrestre,Chile,51419
2013-10-01,Terrestre,Paraguay,53117
2013-10-01,Terrestre,Uruguay,28384
2013-10-01,Terrestre,EE.UU. y Canadá,3119
2013-10-01,Terrestre,Resto de América,10356
2013-10-01,Terrestre,Europa,17708
2013-10-01,Terrestre,Resto del mundo,5516
2013-11-01,Aérea,Bolivia,4373
2013-11-01,Aérea,Brasil,60191
2013-11-01,Aérea,Chile,26364
2013-11-01,Aérea,Paraguay,5087
2013-11-01,Aérea,Uruguay,3666
2013-11-01,Aérea,EE.UU. y Canadá,24695
2013-11-01,Aérea,Resto de América,43988
2013-11-01,Aérea,Europa,52238
2013-11-01,Aérea,Resto del mundo,12821
2013-11-01,Fluvial/Marítima,Bolivia,4475
2013-11-01,Fluvial/Marítima,Brasil,9459
2013-11-01,Fluvial/Marítima,Chile,1069
2013-11-01,Fluvial/Marítima,Paraguay,6167
2013-11-01,Fluvial/Marítima,Uruguay,38210
2013-11-01,Fluvial/Marítima,EE.UU. y Canadá,4881
2013-11-01,Fluvial/Marítima,Resto de América,7398
2013-11-01,Fluvial/Marítima,Europa,10614
2013-11-01,Fluvial/Marítima,Resto del mundo,1923
2013-11-01,Terrestre,Bolivia,20119
2013-11-01,Terrestre,Brasil,26156
2013-11-01,Terrestre,Chile,76496
2013-11-01,Terrestre,Paraguay,53302
2013-11-01,Terrestre,Uruguay,34161
2013-11-01,Terrestre,EE.UU. y Canadá,4665
2013-11-01,Terrestre,Resto de América,13511
2013-11-01,Terrestre,Europa,31758
2013-11-01,Terrestre,Resto del mundo,6180
2013-12-01,Aérea,Bolivia,5758
2013-12-01,Aérea,Brasil,55572
2013-12-01,Aérea,Chile,21348
2013-12-01,Aérea,Paraguay,6281
2013-12-01,Aérea,Uruguay,4059
2013-12-01,Aérea,EE.UU. y Canadá,27526
2013-12-01,Aérea,Resto de América,53366
2013-12-01,Aérea,Europa,56846
2013-12-01,Aérea,Resto del mundo,15022
2013-12-01,Fluvial/Marítima,Bolivia,4318
2013-12-01,Fluvial/Marítima,Brasil,18492
2013-12-01,Fluvial/Marítima,Chile,1160
2013-12-01,Fluvial/Marítima,Paraguay,10403
2013-12-01,Fluvial/Marítima,Uruguay,33534
2013-12-01,Fluvial/Marítima,EE.UU. y Canadá,9188
2013-12-01,Fluvial/Marítima,Resto de América,8257
2013-12-01,Fluvial/Marítima,Europa,14444
2013-12-01,Fluvial/Marítima,Resto del mundo,3265
2013-12-01,Terrestre,Bolivia,40087
2013-12-01,Terrestre,Brasil,42178
2013-12-01,Terrestre,Chile,79345
2013-12-01,Terrestre,Paraguay,107549
2013-12-01,Terrestre,Uruguay,75290
2013-12-01,Terrestre,EE.UU. y Canadá,5215
2013-12-01,Terrestre,Resto de América,18259
2013-12-01,Terrestre,Europa,28855
2013-12-01,Terrestre,Resto del mundo,9818
2014-01-01,Aérea,Bolivia,6592
2014-01-01,Aérea,Brasil,64891
2014-01-01,Aérea,Chile,16402
2014-01-01,Aérea,Paraguay,4824
2014-01-01,Aérea,Uruguay,3330
2014-01-01,Aérea,EE.UU. y Canadá,33734
2014-01-01,Aérea,Resto de América,38934
2014-01-01,Aérea,Europa,69749
2014-01-01,Aérea,Resto del mundo,16471
2014-01-01,Fluvial/Marítima,Bolivia,4179
2014-01-01,Fluvial/Marítima,Brasil,36878
2014-01-01,Fluvial/Marítima,Chile,1745
2014-01-01,Fluvial/Marítima,Paraguay,8578
2014-01-01,Fluvial/Marítima,Uruguay,21098
2014-01-01,Fluvial/Marítima,EE.UU. y Canadá,9477
2014-01-01,Fluvial/Marítima,Resto de América,6229
2014-01-01,Fluvial/Marítima,Europa,15133
2014-01-01,Fluvial/Marítima,Resto del mundo,4783
2014-01-01,Terrestre,Bolivia,52247
2014-01-01,Terrestre,Brasil,43751
2014-01-01,Terrestre,Chile,121959
2014-01-01,Terrestre,Paraguay,74767
2014-01-01,Terrestre,Uruguay,69940
2014-01-01,Terrestre,EE.UU. y Canadá,6274
2014-01-01,Terrestre,Resto de América,15668
2014-01-01,Terrestre,Europa,31461
2014-01-01,Terrestre,Resto del mundo,13981
2014-02-01,Aérea,Bolivia,4909
2014-02-01,Aérea,Brasil,33445
2014-02-01,Aérea,Chile,21610
2014-02-01,Aérea,Paraguay,3974
2014-02-01,Aérea,Uruguay,3641
2014-02-01,Aérea,EE.UU. y Canadá,24578
2014-02-01,Aérea,Resto de América,26396
2014-02-01,Aérea,Europa,51582
2014-02-01,Aérea,Resto del mundo,14536
2014-02-01,Fluvial/Marítima,Bolivia,1417
2014-02-01,Fluvial/Marítima,Brasil,29567
2014-02-01,Fluvial/Marítima,Chile,3599
2014-02-01,Fluvial/Marítima,Paraguay,7029
2014-02-01,Fluvial/Marítima,Uruguay,24130
2014-02-01,Fluvial/Marítima,EE.UU. y Canadá,11112
2014-02-01,Fluvial/Marítima,Resto de América,3398
2014-02-01,Fluvial/Marítima,Europa,21143
2014-02-01,Fluvial/Marítima,Resto del mundo,4572
2014-02-01,Terrestre,Bolivia,37969
2014-02-01,Terrestre,Brasil,21295
2014-02-01,Terrestre,Chile,187449
2014-02-01,Terrestre,Paraguay,66569
2014-02-01,Terrestre,Uruguay,74929
2014-02-01,Terrestre,EE.UU. y Canadá,6251
2014-02-01,Terrestre,Resto de América,9920
2014-02-01,Terrestre,Europa,30542
2014-02-01,Terrestre,Resto del mundo,12359
2014-03-01,Aérea,Bolivia,4188
2014-03-01,Aérea,Brasil,56193
2014-03-01,Aérea,Chile,23069
2014-03-01,Aérea,Paraguay,3971
2014-03-01,Aérea,Uruguay,4725
2014-03-01,Aérea,EE.UU. y Canadá,30262
2014-03-01,Aérea,Resto de América,30692
2014-03-01,Aérea,Europa,54997
2014-03-01,Aérea,Resto del mundo,10948
2014-03-01,Fluvial/Marítima,Bolivia,3899
2014-03-01,Fluvial/Marítima,Brasil,22797
2014-03-01,Fluvial/Marítima,Chile,1535
2014-03-01,Fluvial/Marítima,Paraguay,6331
2014-03-01,Fluvial/Marítima,Uruguay,35214
2014-03-01,Fluvial/Marítima,EE.UU. y Canadá,11335
2014-03-01,Fluvial/Marítima,Resto de América,4567
2014-03-01,Fluvial/Marítima,Europa,13636
2014-03-01,Fluvial/Marítima,Resto del mundo,4039
2014-03-01,Terrestre,Bolivia,25347
2014-03-01,Terrestre,Brasil,30371
2014-03-01,Terrestre,Chile,80018
2014-03-01,Terrestre,Paraguay,48661
2014-03-01,Terrestre,Uruguay,84804
2014-03-01,Terrestre,EE.UU. y Canadá,5897
2014-03-01,Terrestre,Resto de América,9325
2014-03-01,Terrestre,Europa,26150
2014-03-01,Terrestre,Resto del mundo,10811
2014-04-01,Aérea,Bolivia,4213
2014-04-01,Aérea,Brasil,60596
2014-04-01,Aérea,Chile,21719
2014-04-01,Aérea,Paraguay,5336
2014-04-01,Aérea,Uruguay,5749
2014-04-01,Aérea,EE.UU. y Canadá,20785
2014-04-01,Aérea,Resto de América,33488
2014-04-01,Aérea,Europa,43865
2014-04-01,Aérea,Resto del mundo,10576
2014-04-01,Fluvial/Marítima,Bolivia,4979
2014-04-01,Fluvial/Marítima,Brasil,11323
2014-04-01,Fluvial/Marítima,Chile,971
2014-04-01,Fluvial/Marítima,Paraguay,8726
2014-04-01,Fluvial/Marítima,Uruguay,46781
2014-04-01,Fluvial/Marítima,EE.UU. y Canadá,2232
2014-04-01,Fluvial/Marítima,Resto de América,5304
2014-04-01,Fluvial/Marítima,Europa,7257
2014-04-01,Fluvial/Marítima,Resto del mundo,1398
2014-04-01,Terrestre,Bolivia,22645
2014-04-01,Terrestre,Brasil,29018
2014-04-01,Terrestre,Chile,63055
2014-04-01,Terrestre,Paraguay,51847
2014-04-01,Terrestre,Uruguay,86441
2014-04-01,Terrestre,EE.UU. y Canadá,3318
2014-04-01,Terrestre,Resto de América,11554
2014-04-01,Terrestre,Europa,18577
2014-04-01,Terrestre,Resto del mundo,6240
2014-05-01,Aérea,Bolivia,4580
2014-05-01,Aérea,Brasil,61649
2014-05-01,Aérea,Chile,25508
2014-05-01,Aérea,Paraguay,5311
2014-05-01,Aérea,Uruguay,4801
2014-05-01,Aérea,EE.UU. y Canadá,18270
2014-05-01,Aérea,Resto de América,32433
2014-05-01,Aérea,Europa,33926
2014-05-01,Aérea,Resto del mundo,10275
2014-05-01,Fluvial/Marítima,Bolivia,5378
2014-05-01,Fluvial/Marítima,Brasil,8498
2014-05-01,Fluvial/Marítima,Chile,970
2014-05-01,Fluvial/Marítima,Paraguay,6725
2014-05-01,Fluvial/Marítima,Uruguay,27945
2014-05-01,Fluvial/Marítima,EE.UU. y Canadá,1657
2014-05-01,Fluvial/Marítima,Resto de América,4834
2014-05-01,Fluvial/Marítima,Europa,4028
2014-05-01,Fluvial/Marítima,Resto del mundo,1192
2014-05-01,Terrestre,Bolivia,21241
2014-05-01,Terrestre,Brasil,23713
2014-05-01,Terrestre,Chile,42582
2014-05-01,Terrestre,Paraguay,42212
2014-05-01,Terrestre,Uruguay,49378
2014-05-01,Terrestre,EE.UU. y Canadá,1958
2014-05-01,Terrestre,Resto de América,8434
2014-05-01,Terrestre,Europa,11254
2014-05-01,Terrestre,Resto del mundo,4358
2014-06-01,Aérea,Bolivia,3469
2014-06-01,Aérea,Brasil,58450
2014-06-01,Aérea,Chile,20169
2014-06-01,Aérea,Paraguay,3974
2014-06-01,Aérea,Uruguay,4694
2014-06-01,Aérea,EE.UU. y Canadá,17800
2014-06-01,Aérea,Resto de América,33252
2014-06-01,Aérea,Europa,27633
2014-06-01,Aérea,Resto del mundo,9602
2014-06-01,Fluvial/Marítima,Bolivia,5035
2014-06-01,Fluvial/Marítima,Brasil,9039
2014-06-01,Fluvial/Marítima,Chile,529
2014-06-01,Fluvial/Marítima,Paraguay,4665
2014-06-01,Fluvial/Marítima,Uruguay,27872
2014-06-01,Fluvial/Marítima,EE.UU. y Canadá,2084
2014-06-01,Fluvial/Marítima,Resto de América,4476
2014-06-01,Fluvial/Marítima,Europa,3451
2014-06-01,Fluvial/Marítima,Resto del mundo,1083
2014-06-01,Terrestre,Bolivia,20202
2014-06-01,Terrestre,Brasil,26783
2014-06-01,Terrestre,Chile,36486
2014-06-01,Terrestre,Paraguay,38415
2014-06-01,Terrestre,Uruguay,35099
2014-06-01,Terrestre,EE.UU. y Canadá,2759
2014-06-01,Terrestre,Resto de América,13618
2014-06-01,Terrestre,Europa,10129
2014-06-01,Terrestre,Resto del mundo,5151
2014-07-01,Aérea,Bolivia,4882
2014-07-01,Aérea,Brasil,81486
2014-07-01,Aérea,Chile,24285
2014-07-01,Aérea,Paraguay,6231
2014-07-01,Aérea,Uruguay,5020
2014-07-01,Aérea,EE.UU. y Canadá,18944
2014-07-01,Aérea,Resto de América,34871
2014-07-01,Aérea,Europa,27346
2014-07-01,Aérea,Resto del mundo,10407
2014-07-01,Fluvial/Marítima,Bolivia,6821
2014-07-01,Fluvial/Marítima,Brasil,10772
2014-07-01,Fluvial/Marítima,Chile,1158
2014-07-01,Fluvial/Marítima,Paraguay,4752
2014-07-01,Fluvial/Marítima,Uruguay,42306
2014-07-01,Fluvial/Marítima,EE.UU. y Canadá,2126
2014-07-01,Fluvial/Marítima,Resto de América,4396
2014-07-01,Fluvial/Marítima,Europa,3950
2014-07-01,Fluvial/Marítima,Resto del mundo,971
2014-07-01,Terrestre,Bolivia,32286
2014-07-01,Terrestre,Brasil,28033
2014-07-01,Terrestre,Chile,54865
2014-07-01,Terrestre,Paraguay,62081
2014-07-01,Terrestre,Uruguay,59826
2014-07-01,Terrestre,EE.UU. y Canadá,2739
2014-07-01,Terrestre,Resto de América,10583
2014-07-01,Terrestre,Europa,12211
2014-07-01,Terrestre,Resto del mundo,4314
2014-08-01,Aérea,Bolivia,4746
2014-08-01,Aérea,Brasil,85118
2014-08-01,Aérea,Chile,27710
2014-08-01,Aérea,Paraguay,6467
2014-08-01,Aérea,Uruguay,6484
2014-08-01,Aérea,EE.UU. y Canadá,18709
2014-08-01,Aérea,Resto de América,36636
2014-08-01,Aérea,Europa,38426
2014-08-01,Aérea,Resto del mundo,10344
2014-08-01,Fluvial/Marítima,Bolivia,5278
2014-08-01,Fluvial/Marítima,Brasil,10115
2014-08-01,Fluvial/Marítima,Chile,656
2014-08-01,Fluvial/Marítima,Paraguay,5310
2014-08-01,Fluvial/Marítima,Uruguay,33671
2014-08-01,Fluvial/Marítima,EE.UU. y Canadá,1451
2014-08-01,Fluvial/Marítima,Resto de América,4473
2014-08-01,Fluvial/Marítima,Europa,4271
2014-08-01,Fluvial/Marítima,Resto del mundo,845
2014-08-01,Terrestre,Bolivia,23274
2014-08-01,Terrestre,Brasil,25129
2014-08-01,Terrestre,Chile,40317
2014-08-01,Terrestre,Paraguay,55417
2014-08-01,Terrestre,Uruguay,44447
2014-08-01,Terrestre,EE.UU. y Canadá,2007
2014-08-01,Terrestre,Resto de América,9178
2014-08-01,Terrestre,Europa,14722
2014-08-01,Terrestre,Resto del mundo,3736
2014-09-01,Aérea,Bolivia,4985
2014-09-01,Aérea,Brasil,69467
2014-09-01,Aérea,Chile,30176
2014-09-01,Aérea,Paraguay,5343
2014-09-01,Aérea,Uruguay,7138
2014-09-01,Aérea,EE.UU. y Canadá,14511
2014-09-01,Aérea,Resto de América,34835
2014-09-01,Aérea,Europa,32520
2014-09-01,Aérea,Resto del mundo,10877
2014-09-01,Fluvial/Marítima,Bolivia,5021
2014-09-01,Fluvial/Marítima,Brasil,9622
2014-09-01,Fluvial/Marítima,Chile,955
2014-09-01,Fluvial/Marítima,Paraguay,5478
2014-09-01,Fluvial/Marítima,Uruguay,36138
2014-09-01,Fluvial/Marítima,EE.UU. y Canadá,1399
2014-09-01,Fluvial/Marítima,Resto de América,5162
2014-09-01,Fluvial/Marítima,Europa,4297
2014-09-01,Fluvial/Marítima,Resto del mundo,976
2014-09-01,Terrestre,Bolivia,22031
2014-09-01,Terrestre,Brasil,28829
2014-09-01,Terrestre,Chile,60889
2014-09-01,Terrestre,Paraguay,53986
2014-09-01,Terrestre,Uruguay,50206
2014-09-01,Terrestre,EE.UU. y Canadá,1980
2014-09-01,Terrestre,Resto de América,9908
2014-09-01,Terrestre,Europa,11855
2014-09-01,Terrestre,Resto del mundo,4304
2014-10-01,Aérea,Bolivia,5147
2014-10-01,Aérea,Brasil,68096
2014-10-01,Aérea,Chile,26969
2014-10-01,Aérea,Paraguay,5527
2014-10-01,Aérea,Uruguay,6143
2014-10-01,Aérea,EE.UU. y Canadá,18323
2014-10-01,Aérea,Resto de América,44358
2014-10-01,Aérea,Europa,38003
2014-10-01,Aérea,Resto del mundo,12877
2014-10-01,Fluvial/Marítima,Bolivia,5805
2014-10-01,Fluvial/Marítima,Brasil,9304
2014-10-01,Fluvial/Marítima,Chile,863
2014-10-01,Fluvial/Marítima,Paraguay,6359
2014-10-01,Fluvial/Marítima,Uruguay,38174
2014-10-01,Fluvial/Marítima,EE.UU. y Canadá,2355
2014-10-01,Fluvial/Marítima,Resto de América,6529
2014-10-01,Fluvial/Marítima,Europa,6696
2014-10-01,Fluvial/Marítima,Resto del mundo,1299
2014-10-01,Terrestre,Bolivia,25249
2014-10-01,Terrestre,Brasil,28576
2014-10-01,Terrestre,Chile,59700
2014-10-01,Terrestre,Paraguay,58871
2014-10-01,Terrestre,Uruguay,44699
2014-10-01,Terrestre,EE.UU. y Canadá,3357
2014-10-01,Terrestre,Resto de América,11141
2014-10-01,Terrestre,Europa,20154
2014-10-01,Terrestre,Resto del mundo,6203
2014-11-01,Aérea,Bolivia,5189
2014-11-01,Aérea,Brasil,62809
2014-11-01,Aérea,Chile,27513
2014-11-01,Aérea,Paraguay,5580
2014-11-01,Aérea,Uruguay,4817
2014-11-01,Aérea,EE.UU. y Canadá,24840
2014-11-01,Aérea,Resto de América,41916
2014-11-01,Aérea,Europa,53502
2014-11-01,Aérea,Resto del mundo,11940
2014-11-01,Fluvial/Marítima,Bolivia,4465
2014-11-01,Fluvial/Marítima,Brasil,10125
2014-11-01,Fluvial/Marítima,Chile,871
2014-11-01,Fluvial/Marítima,Paraguay,5445
2014-11-01,Fluvial/Marítima,Uruguay,38951
2014-11-01,Fluvial/Marítima,EE.UU. y Canadá,3258
2014-11-01,Fluvial/Marítima,Resto de América,5771
2014-11-01,Fluvial/Marítima,Europa,9771
2014-11-01,Fluvial/Marítima,Resto del mundo,1439
2014-11-01,Terrestre,Bolivia,21601
2014-11-01,Terrestre,Brasil,27119
2014-11-01,Terrestre,Chile,77405
2014-11-01,Terrestre,Paraguay,56511
2014-11-01,Terrestre,Uruguay,46108
2014-11-01,Terrestre,EE.UU. y Canadá,5141
2014-11-01,Terrestre,Resto de América,13777
2014-11-01,Terrestre,Europa,36621
2014-11-01,Terrestre,Resto del mundo,6503
2014-12-01,Aérea,Bolivia,6765
2014-12-01,Aérea,Brasil,56955
2014-12-01,Aérea,Chile,20929
2014-12-01,Aérea,Paraguay,6048
2014-12-01,Aérea,Uruguay,3845
2014-12-01,Aérea,EE.UU. y Canadá,24795
2014-12-01,Aérea,Resto de América,54657
2014-12-01,Aérea,Europa,57502
2014-12-01,Aérea,Resto del mundo,15138
2014-12-01,Fluvial/Marítima,Bolivia,5350
2014-12-01,Fluvial/Marítima,Brasil,28924
2014-12-01,Fluvial/Marítima,Chile,1104
2014-12-01,Fluvial/Marítima,Paraguay,9781
2014-12-01,Fluvial/Marítima,Uruguay,28047
2014-12-01,Fluvial/Marítima,EE.UU. y Canadá,6183
2014-12-01,Fluvial/Marítima,Resto de América,7842
2014-12-01,Fluvial/Marítima,Europa,11875
2014-12-01,Fluvial/Marítima,Resto del mundo,2436
2014-12-01,Terrestre,Bolivia,42722
2014-12-01,Terrestre,Brasil,38371
2014-12-01,Terrestre,Chile,91723
2014-12-01,Terrestre,Paraguay,118677
2014-12-01,Terrestre,Uruguay,36382
2014-12-01,Terrestre,EE.UU. y Canadá,5944
2014-12-01,Terrestre,Resto de América,18645
2014-12-01,Terrestre,Europa,32926
2014-12-01,Terrestre,Resto del mundo,10601
2015-01-01,Aérea,Bolivia,7878
2015-01-01,Aérea,Brasil,68315
2015-01-01,Aérea,Chile,18641
2015-01-01,Aérea,Paraguay,5399
2015-01-01,Aérea,Uruguay,2785
2015-01-01,Aérea,EE.UU. y Canadá,35289
2015-01-01,Aérea,Resto de América,39669
2015-01-01,Aérea,Europa,72538
2015-01-01,Aérea,Resto del mundo,16872
2015-01-01,Fluvial/Marítima,Bolivia,4348
2015-01-01,Fluvial/Marítima,Brasil,43152
2015-01-01,Fluvial/Marítima,Chile,2276
2015-01-01,Fluvial/Marítima,Paraguay,9294
2015-01-01,Fluvial/Marítima,Uruguay,23236
2015-01-01,Fluvial/Marítima,EE.UU. y Canadá,9903
2015-01-01,Fluvial/Marítima,Resto de América,6306
2015-01-01,Fluvial/Marítima,Europa,16738
2015-01-01,Fluvial/Marítima,Resto del mundo,4814
2015-01-01,Terrestre,Bolivia,57084
2015-01-01,Terrestre,Brasil,53878
2015-01-01,Terrestre,Chile,142761
2015-01-01,Terrestre,Paraguay,83446
2015-01-01,Terrestre,Uruguay,42803
2015-01-01,Terrestre,EE.UU. y Canadá,7331
2015-01-01,Terrestre,Resto de América,16394
2015-01-01,Terrestre,Europa,35159
2015-01-01,Terrestre,Resto del mundo,15422
2015-02-01,Aérea,Bolivia,5848
2015-02-01,Aérea,Brasil,43280
2015-02-01,Aérea,Chile,24826
2015-02-01,Aérea,Paraguay,4872
2015-02-01,Aérea,Uruguay,3241
2015-02-01,Aérea,EE.UU. y Canadá,25067
2015-02-01,Aérea,Resto de América,26591
2015-02-01,Aérea,Europa,52659
2015-02-01,Aérea,Resto del mundo,13790
2015-02-01,Fluvial/Marítima,Bolivia,3127
2015-02-01,Fluvial/Marítima,Brasil,26783
2015-02-01,Fluvial/Marítima,Chile,3894
2015-02-01,Fluvial/Marítima,Paraguay,7890
2015-02-01,Fluvial/Marítima,Uruguay,25012
2015-02-01,Fluvial/Marítima,EE.UU. y Canadá,11593
2015-02-01,Fluvial/Marítima,Resto de América,4057
2015-02-01,Fluvial/Marítima,Europa,24585
2015-02-01,Fluvial/Marítima,Resto del mundo,4827
2015-02-01,Terrestre,Bolivia,38370
2015-02-01,Terrestre,Brasil,31434
2015-02-01,Terrestre,Chile,213862
2015-02-01,Terrestre,Paraguay,66131
2015-02-01,Terrestre,Uruguay,41760
2015-02-01,Terrestre,EE.UU. y Canadá,6603
2015-02-01,Terrestre,Resto de América,9973
2015-02-01,Terrestre,Europa,31871
2015-02-01,Terrestre,Resto del mundo,13381
2015-03-01,Aérea,Bolivia,5040
2015-03-01,Aérea,Brasil,39739
2015-03-01,Aérea,Chile,20927
2015-03-01,Aérea,Paraguay,4656
2015-03-01,Aérea,Uruguay,4592
2015-03-01,Aérea,EE.UU. y Canadá,29586
2015-03-01,Aérea,Resto de América,29453
2015-03-01,Aérea,Europa,55587
2015-03-01,Aérea,Resto del mundo,14796
2015-03-01,Fluvial/Marítima,Bolivia,542
2015-03-01,Fluvial/Marítima,Brasil,23773
2015-03-01,Fluvial/Marítima,Chile,1328
2015-03-01,Fluvial/Marítima,Paraguay,7353
2015-03-01,Fluvial/Marítima,Uruguay,29021
2015-03-01,Fluvial/Marítima,EE.UU. y Canadá,9248
2015-03-01,Fluvial/Marítima,Resto de América,4691
2015-03-01,Fluvial/Marítima,Europa,13632
2015-03-01,Fluvial/Marítima,Resto del mundo,3738
2015-03-01,Terrestre,Bolivia,26278
2015-03-01,Terrestre,Brasil,24367
2015-03-01,Terrestre,Chile,82592
2015-03-01,Terrestre,Paraguay,57718
2015-03-01,Terrestre,Uruguay,33825
2015-03-01,Terrestre,EE.UU. y Canadá,6643
2015-03-01,Terrestre,Resto de América,9012
2015-03-01,Terrestre,Europa,28672
2015-03-01,Terrestre,Resto del mundo,9903
2015-04-01,Aérea,Bolivia,5152
2015-04-01,Aérea,Brasil,49667
2015-04-01,Aérea,Chile,20842
2015-04-01,Aérea,Paraguay,5298
2015-04-01,Aérea,Uruguay,5351
2015-04-01,Aérea,EE.UU. y Canadá,21981
2015-04-01,Aérea,Resto de América,31328
2015-04-01,Aérea,Europa,47400
2015-04-01,Aérea,Resto del mundo,11296
2015-04-01,Fluvial/Marítima,Bolivia,3860
2015-04-01,Fluvial/Marítima,Brasil,9182
2015-04-01,Fluvial/Marítima,Chile,779
2015-04-01,Fluvial/Marítima,Paraguay,6522
2015-04-01,Fluvial/Marítima,Uruguay,42292
2015-04-01,Fluvial/Marítima,EE.UU. y Canadá,2770
2015-04-01,Fluvial/Marítima,Resto de América,4770
2015-04-01,Fluvial/Marítima,Europa,6394
2015-04-01,Fluvial/Marítima,Resto del mundo,1228
2015-04-01,Terrestre,Bolivia,21963
2015-04-01,Terrestre,Brasil,28426
2015-04-01,Terrestre,Chile,64907
2015-04-01,Terrestre,Paraguay,46698
2015-04-01,Terrestre,Uruguay,52412
2015-04-01,Terrestre,EE.UU. y Canadá,3461
2015-04-01,Terrestre,Resto de América,10252
2015-04-01,Terrestre,Europa,18711
2015-04-01,Terrestre,Resto del mundo,6116
2015-05-01,Aérea,Bolivia,5175
2015-05-01,Aérea,Brasil,48815
2015-05-01,Aérea,Chile,23958
2015-05-01,Aérea,Paraguay,5822
2015-05-01,Aérea,Uruguay,4387
2015-05-01,Aérea,EE.UU. y Canadá,18721
2015-05-01,Aérea,Resto de América,29674
2015-05-01,Aérea,Europa,32899
2015-05-01,Aérea,Resto del mundo,10333
2015-05-01,Fluvial/Marítima,Bolivia,6843
2015-05-01,Fluvial/Marítima,Brasil,8774
2015-05-01,Fluvial/Marítima,Chile,980
2015-05-01,Fluvial/Marítima,Paraguay,6216
2015-05-01,Fluvial/Marítima,Uruguay,34140
2015-05-01,Fluvial/Marítima,EE.UU. y Canadá,1767
2015-05-01,Fluvial/Marítima,Resto de América,4166
2015-05-01,Fluvial/Marítima,Europa,4352
2015-05-01,Fluvial/Marítima,Resto del mundo,1030
2015-05-01,Terrestre,Bolivia,22216
2015-05-01,Terrestre,Brasil,25699
2015-05-01,Terrestre,Chile,54438
2015-05-01,Terrestre,Paraguay,41727
2015-05-01,Terrestre,Uruguay,28882
2015-05-01,Terrestre,EE.UU. y Canadá,2324
2015-05-01,Terrestre,Resto de América,8047
2015-05-01,Terrestre,Europa,11810
2015-05-01,Terrestre,Resto del mundo,4276
2015-06-01,Aérea,Bolivia,4534
2015-06-01,Aérea,Brasil,54063
2015-06-01,Aérea,Chile,20329
2015-06-01,Aérea,Paraguay,4804
2015-06-01,Aérea,Uruguay,4867
2015-06-01,Aérea,EE.UU. y Canadá,18942
2015-06-01,Aérea,Resto de América,29000
2015-06-01,Aérea,Europa,28583
2015-06-01,Aérea,Resto del mundo,10320
2015-06-01,Fluvial/Marítima,Bolivia,6751
2015-06-01,Fluvial/Marítima,Brasil,8697
2015-06-01,Fluvial/Marítima,Chile,503
2015-06-01,Fluvial/Marítima,Paraguay,5990
2015-06-01,Fluvial/Marítima,Uruguay,28446
2015-06-01,Fluvial/Marítima,EE.UU. y Canadá,2029
2015-06-01,Fluvial/Marítima,Resto de América,3796
